Nº;Entidad;APERTURA;Nº EXPTE.;JUZG.;JURISD;DIRECCION;LIQUIDADOR RESPONSABLE
1;Acuario Compañía de Seguros S.A.;24/2/1995;4707/1995;Comercial N° 2, Secretaría N° 3;CABA;M.T. Alvear 1840 2º piso;Dra. María Cristina Ubbriaco
2;Aeta del Chaco Cooperativa de Seguros Ltda.;15/11/1979;7062/96;Civil y Comercial, 6ta. Nominación;Resistencia-Chaco;Lopez y Planes 48. PA;Sr. Ricardo Crosetto
3;Alfa Compañía Argentina de Seguros S.A.;6/7/1994;3800416/93;Comercial N° 19, Secretaría N° 38;CABA;M.T. Alvear 1840 2º piso;Dra. María Alejandra Spagnolo
4;Ancora Compañía Argentina de seguros S.A.;27/6/1995;38036/1995;Comercial N° 16, Secretaría N° 31;CABA;M.T. Alvear 1840;Dra. María Cristina Ubbriaco
5;Apolo Compañía de Seguros S.A.;30/11/1989;45369/2008;Comercial N° 24, Secretaría N° 47;CABA;M.T. Alvear 1840 2º;Cont. Orlando Marcelo Suarez
6;Arcadia Compañía Argentina de Seguros S.A.;15/11/1996;44226/96;Comercial N° 3, Secretaría N° 5;CABA;Callao 635 6º PISO;Cont. Orlando Marcelo Suarez
7;Arco Iris Cooperativa de Seguros Limitada;25/8/1988;15005515/88;Comercial N° 8, Secretaría N° 15;CABA;Av. Roque S. Peña 1211 7º PISO;Dr. Carlos Eduardo Sercovich
8;Aries Compañía Argentina de Seguros S.A.;7/10/1996;101849/1997;Comercial N° 15, Secretaría N° 30;CABA;Callao 635 3º piso;Dr. Martín Riera 
9;Aseguradora del Litoral S.A.;23/11/1999;105414/1999;Comercial N° 5, Secretaría N° 9;CABA;Av. Roque S. Peña 1211 8º Piso;Dra. Alicia Nilda Sturla
10;Aseguradora del Oeste Cía. de Seg. S.A.;27/10/1980;54609;Civil y Comercial N° 9, sec. N° 8;Mercedes- Pcia. de Bs. As.;Calle 26, Nº 620;Cont. Edgardo Gustavo Silva
11;Aseguradora Rural S.A. Compañía de Seguros;14/10/1991;22701/90;Comercial N° 26, Secretaría 52;CABA;Callao 635 1º Piso;Cont. Orlando Marcelo Suarez
12;Atalaya Seguros en General S.A.;10/3/1994;44296/1993;Comercial N° 24, Secretaría N° 48;CABA;M.T. Alvear 1840 2º Piso;Dr. Oscar Guillermo Carreras
13;Atlantica Compañía Americana de Seguros S.A.;15/7/1997;043573/97;Comercial N° 1, Secretaría N° 1;CABA;Av. Roque S. Peña 1211 5º piso;Dra. Claudia Marcela Pariente
14;Auxilio Familiar Cooperativa de Seguros Limitada;11/6/1992;12233/1991;Comercial N° 8, Secretaría N° 15;CABA;Av. Roque S. Peña 1211 7º PISO;Cont. Héctor Jorge García
15;Avanzada Cooperativa de Seguros Limitada;5/3/1998;73623/1997;Comercial N° 25, Secretaría N° 50;CABA;Callao 635 4º piso;Dra. Claudia Marcela Pariente
16;Belgrano Sociedad Cooperativa de Seguros Limitada;6/6/1997;28613/1997;Comercial N° 5, Secretaría N° 10;CABA;Av. Roque Saenz Peña 615 8°;Dra. María Cristina Ubbriaco
17;Betania Cooperativa Limitada de Seguros Generales;1/10/1986;035587/04;Comercial N° 9, Secretaría N° 18;CABA;M.T. Alvear 1840 4º piso;Cont. Orlando Marcelo Suarez
18;Brújula Compañía Argentina de Seguros S.A.;14/3/1995;68899/1994;Comercial N° 16, Secretaría N° 31;CABA;M.T. Alvear 1840;Dr. Carlos Eduardo Sercovich
19;Capital Compañía Argentina de Seguros Generales S.A.;9/8/1994;32127/1994;Comercial N° 4, Secretaría N° 8;CABA;Av. Roque S. Peña 1211 1º Piso;Dra. Claudia Marcela Pariente
20;Cardinal Compañía de Seguros S.A.;30/10/1987;32780/93;Comercial N° 12, Secretaría N° 24;CABA;M.T. Alvear 1840 2º Piso;Dr. Carlos Eduardo Sercovich
21;Cenit Seguros S.A.;26/5/1998;90229/1997;Comercial Nº 14, Secretaría N° 28;CABA;Callao 635 2º Piso;Dra. María Cristina Ubbriaco
22;Centuria Compañía Argentina de Seguros S.A.;17/3/1993;9915/92;Comercial Nº 26 Secretaría N° 51;CABA;Callao 635 1º Piso;Dr. Carlos Eduardo Sercovich
23;Chacabuco Compañía Argentina de Seguros S.A.;5/5/1987;001570/97;Comercial Nº 5, Secretaría N° 10;CABA;Av. Roque Saenz Peña 615 8°;Dra. Verónica Ortíz Auger
24;Chaco Argentino Compañía de Seguros Generales S.A.;19/12/1979;44008;Comercial Nº 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Cont. Edgardo Gustavo Silva
25;Chubut Compañía Argentina de Seguros S.A.;13/3/1995;694920;Civil Y Comercial de la 2da. Nom.;Río Cuarto-Córdoba;Palacio de Justicia. 25 de Mayo 96. centro;Dra. María Cristina Ubbriaco
26;Comercio Español y Argentino Compañía de Seguros S.A.;12/8/1992;56596;Comercial N° 14, Secretaría N° 28;CABA;25 de Mayo 96, Centro;Dra. Claudia Marcela Pariente
27;Compañía Argentina de Seguros Alpes S.A.;31/3/1998;01303/98;Comercial N° 13, Secretaría N° 25;CABA;M.T. Alvear 1840 4º piso;Cont. Orlando Marcelo Suarez
28;Compañía Argentina de Seguros America S.A.;30/5/1995;003306/94;Comercial N° 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Dra. Claudia Marcela Pariente
29;Compañía Argentina de Seguros ANTA S.A.;28/12/2001;34807/01;Juzg.1° Inst. Civil y Comercial 4, Distrito Judicial Centro;Salta;Av Bolivia 4671.;Dra. María Cristina Ubbriaco
30;Compañía Argentina de Seguros La Acción S.A.;13/6/2001;97315;Civil y Comercial N° 5, Sec. N° 2;Bahía Blanca-Pcia. de Bs. As.;Estomba Nº 34, 1º piso;Dr. Oscar Guillermo Carreras
31;Compañía Argentina de Seguros Minerva S.A.;22/4/1992;005780/92;Comercial N° 6, Secretaría N° 12;CABA;Av. Roque S. Peña 1211 2º Piso;Dr. Martín Riera 
32;Compañía de Seguros del Interior S.A.;27/3/1995;055714/93;Comercial N° 7, Secretaría N° 13;CABA;Av. Roque S. Peña 1211 2º Piso;Cont. Orlando Marcelo Suarez
33;Compañía de Seguros El Comercio de Córdoba S.A.;26/9/1997;489804/36;Civil y Comercial N° 26, Sec. N° 52;Córdoba;Caseros 551. PB. Pasillo central.;Dra. Alicia Nilda Sturla
34;Compañía de Seguros La Comercial e Industrial de Avellaneda;12/2/1992;25461;Civil y Comercial N° 5;Lomas de Zamora-Pcia. de Bs. As.;Camino Pres. Juan Domingo Peron Intersección: Larroque;Dra. Alicia Nilda Sturla
35;Compañía de Seguros La Franco Argentina S.A.;20/2/1995;82023/1994;Comercial N° 8, Secretaría N° 16;CABA;Av. Roque S. Peña 1211 7º PISO;Dra. Andrea Susana Rojas 
36;Compañía de Seguros La Mercantil Rosarina S.A.;5/6/1997;100/97;Civil y Comercial 9na. Nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
37;Compañía de Seguros Union Comerciantes S.A.;18/2/1999;83818/98;Comercial N° 17, Secretaría N° 33;CABA;M.T. Alvear 1840 3º piso;Dr. Oscar Guillermo Carreras
38;Congreso Compañía Argentina de Seguros S.A.;13/3/1998;007426/98;Comercial N° 15, Secretaría N° 30;CABA;Callao 635 3º piso;Cont. Héctor Jorge García
39;Conosud S.A. Compañía Argentina de Seguros;6/7/1998;63110;Civil y Comercial N° 1;Lomas de Zamora-Pcia. de Bs. As.;Camino Pres. Juan Domingo Peron Intersección: Larroque;Dr. Domingo Gómez Bisgarra
40;Cooperación Gremial Cooperativa de Seguros;17/3/1995;150/95;Civil y Comercial 7ma nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
41;Cooperativa Patronal Limitada de Seguros;30/3/1987;63182/1994;Comercial N° 8, Secretaría N° 15;CABA;Av. Roque S. Peña 1211 7º PISO;Dra. Andrea Susana Rojas 
42;Cosecha Cooperativa de Seguros Limitada;27/10/1994;1859/94;Civil y Comercial N° 2, Sec. N° 3;Chaco;Av Laprida Nº 33;Cont. Edgardo Gustavo Silva
43;Cosmos Compañía Argentina de Seguros S.A.;2/6/1988;63507/2003;Comercial N° 13, Secretaría N° 26;CABA;M.T. Alvear 1840 4º piso;Dr. Martín Riera
44;Cumbre Cooperativa de Seguros Limitada;27/11/1998;94145/1198;Comercial N° 21, Secretaría 41;CABA;M.T. Alvear 1840 3º PISO;Dra. María Cristina Ubbriaco
45;Cúspide Compañía Argentina de Seguros S.A.;12/10/2001;118987/01;Civil y Comerial de la 2a nom., Secretaría Nº 3;Villa María - Córdoba;Gral Paz 335, Centro;Dra. María Cristina Ubbriaco
46;El Acuerdo Compañía Argentina de Seguros S.A.;16/12/1992;;Comercial N° 25, Secretaría N° 49;CABA;Callao 635 4º piso;Sr. Ricardo Crosetto
47;El Cabildo Compañía Argentina de Seguros Grales. S.A.;23/9/1996;63537/1996;Comercial N° 23, Secretaría N° 45;CABA;M.T. Alvear 1840 2º Piso;Dr. Luis Petrate Arguello
48;El Centinela Cooperativa de Seguros Limitada;25/2/1998;25705;Civil y Comercial N° 2, Sec. Unica;Tandil-Pcia. de Bs. As.;San Martín Nº 596;Cont. Edgardo Gustavo Silva
49;El Comercio del Norte Compañía de Seguros S.A.;25/9/1992;1553/92;Civil y Comercial N° 7;Tucumán;Pje. Velez Sarsfield 450;Dr. Domingo Gómez Bisgarra
50;El Mundo Compañía de Seguros Generales S.A.;10/12/1986;119219/99;Comercial N° 9, Secretaría N° 17;CABA;M.T. Alvear 1840 4º piso;Dra. Claudia Marcela Pariente
51;El Porvenir Cooperativa de Seguros Limitada;5/8/1997;38672/1997;Comercial N° 13, Secretaría 25;CABA;M.T. Alvear 1840 4º piso;Cont. Héctor Jorge García
52;El Refugio Compañía de Seguros Limitada S.A.;7/12/1988;8821/2014;Comercial N° 8, Secretaría N° 16;CABA;Av. Roque S. Peña 1211 7º PISO;Cont. Héctor Jorge García
53;El Sol Argentino Compañía de Seguros Generales S.A.;4/12/1990;15798/1990;Comercial N° 23, Secretaría N° 46;CABA;M.T. Alvear 1840 2º Piso;Dr. Martín Riera
54;El Sol de Buenos Aires Compañía de Seguros S.A.;15/12/1992;20777/1992;Comercial N° 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Dr. Carlos Eduardo Sercovich
55;Excelsior Compañía Argentina de Seguros S.A.;5/6/1989;24063/92;Comercial N° 10, Secretaría N° 20;CABA;Callao 635 E.P.;Dr. Martín Riera 
56;FAAF S.A.;6/9/2000;1183/00;Juzg. de distrito de la 8a nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
57;Febo Compañía de Seguros S.A.;31/3/1987;11725/94;Comercial N° 26, Secretaría 51;CABA;Callao 635 1º Piso;Dra. María Cristina Ubbriaco
58;Federación Agraria Argentina Cooperativa de Seguros Limitada;15/6/1999;413/99;Civil y Comercial 13 nominacion;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
59;Federación Agraria Argentina Seguros de Retiro S.A.;18/4/2000;385/00;Civil Y Comercial de la 10° Nom.;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
60;Fides Compañía Argentina de Seguros S.A.;19/6/1991;20930/90;Comercial N° 2, Secretaría N° 4;CABA;M.T. Alvear 1840 3º piso;Dra. Claudia Marcela Pariente
61;Fortaleza Cooperativa de Seguros Limitada;7/11/1991;023200/90;Comercial N° 22, Secretaría N° 43;CABA;M.T. Alvear 1840 3º PISO;Cont. Orlando Marcelo Suarez
62;Galicia y Río de la Plata Compañía de Seguros S.A.;31/5/1991;021991/90;Comercial N° 1, Secretaría N° 1;CABA;Av. Roque S. Peña 1211 5º piso;Dra. María Cristina Ubbriaco
63;Ganadera Argentina S.A. de Seguros;29/6/1995;044440/95;Comercial N° 3, Secretaría N° 6;CABA;Callao 635 6º PISO;Cont. Héctor Jorge García
64;Garantía Compañía Argentina de Seg. S.A.;30/9/2002;87956/02;Comercial N° 26, Secretaría 51;CABA;Callao 635 1º Piso;Dra. Gabriela Inés Trapaglia
65;General Paz Seguros S.A.;8/2/2000;94373/99;Comercial N° 2, Secretaría N° 3;CABA;M.T. Alvear 1840 2º piso;Dra. Gabriela Inés Trapaglia
66;Helvetia Argentina S.A. de Seguros;3/9/1997;022269/97;Comercial N° 19, Secretaría 38;CABA;M.T. Alvear 1840 2º piso;Dr. Ezequiel Cará
67;Hemisferio Compañía Argentina de seguros;23/11/1982;47569;Civil y Com 7ma nom., Sec.N° 4;Córdoba;Caseros 551. PB. Pasillo central.;Dra. Alicia Nilda Sturla
68;Hermes Compañía Argentina de Seguros S.A.;5/5/1999;24525/99;Comercial N° 16, Secretaría N° 32;CABA;Callao 635 E.P.;Dr. Oscar Guillermo Carreras
69;Himalaya S.A. de Seguros;1/9/1997;030864/97;Comercial N° 6, Secretaría N° 11;CABA;Av. Roque S. Peña 1211 2º Piso;Dra. Claudia Marcela Pariente
70;Huarpe Cooperativa de Seguros Limitada;11/11/1992;19263;Concursos y Registro N° 2;Mendoza;San Martin Nº 322, 3º piso-Oeste;Cont. Edgardo Gustavo Silva
